Analysis	SourceText	TextToken
urn:cite:perseus:lextoken.ἄλλοι	urn:cts:greekLit:tlg0012.tlg001.msA:1.22@ἄλλοι	ἄλλοι
urn:cite:perseus:lextoken.μὲν	urn:cts:greekLit:tlg0012.tlg001.msA:1.22@μὲν	μὲν
urn:cite:perseus:lextoken.πάντες	urn:cts:greekLit:tlg0012.tlg001.msA:1.22@πάντες	πάντες
urn:cite:perseus:lextoken.ἐπευφήμησαν	urn:cts:greekLit:tlg0012.tlg001.msA:1.22@ἐπευφήμησαν	ἐπευφήμησαν
urn:cite:perseus:lextoken.Ἀχαιοὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.22@Ἀχαιοὶ	Ἀχαιοὶ
urn:cite:perseus:lextoken.αἰδεῖσθαί	urn:cts:greekLit:tlg0012.tlg001.msA:1.23@αἰδεῖσθαί	αἰδεῖσθαί
urn:cite:perseus:lextoken.θ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.23@θ᾽	θ᾽
urn:cite:perseus:lextoken.ἱερῆα	urn:cts:greekLit:tlg0012.tlg001.msA:1.23@ἱερῆα	ἱερῆα
urn:cite:perseus:lextoken.καὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.23@καὶ	καὶ
urn:cite:perseus:lextoken.ἀγλαὰ	urn:cts:greekLit:tlg0012.tlg001.msA:1.23@ἀγλαὰ	ἀγλαὰ
urn:cite:perseus:lextoken.δέχθαι	urn:cts:greekLit:tlg0012.tlg001.msA:1.23@δέχθαι	δέχθαι
urn:cite:perseus:lextoken.ἄποινα	urn:cts:greekLit:tlg0012.tlg001.msA:1.23@ἄποινα·	ἄποινα
urn:cite:perseus:lextoken.ἀλλ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.24@ἀλλ᾽	ἀλλ᾽
urn:cite:perseus:lextoken.οὐκ	urn:cts:greekLit:tlg0012.tlg001.msA:1.24@οὐκ	οὐκ
urn:cite:perseus:lextoken.Ἀτρεΐδῃ	urn:cts:greekLit:tlg0012.tlg001.msA:1.24@Ἀτρεΐδῃ	Ἀτρεΐδῃ
urn:cite:perseus:lextoken.Ἀγαμέμνονι	urn:cts:greekLit:tlg0012.tlg001.msA:1.24@Ἀγαμέμνονι	Ἀγαμέμνονι
urn:cite:perseus:lextoken.ἥνδανε	urn:cts:greekLit:tlg0012.tlg001.msA:1.24@ἥνδανε	ἥνδανε
urn:cite:perseus:lextoken.θυμῷ	urn:cts:greekLit:tlg0012.tlg001.msA:1.24@θυμῷ,	θυμῷ
urn:cite:perseus:lextoken.ἀλλὰ	urn:cts:greekLit:tlg0012.tlg001.msA:1.25@ἀλλὰ	ἀλλὰ
urn:cite:perseus:lextoken.κακῶς	urn:cts:greekLit:tlg0012.tlg001.msA:1.25@κακῶς	κακῶς
urn:cite:perseus:lextoken.ἀφίει	urn:cts:greekLit:tlg0012.tlg001.msA:1.25@ἀφίει,	ἀφίει
urn:cite:perseus:lextoken.κρατερὸν	urn:cts:greekLit:tlg0012.tlg001.msA:1.25@κρατερὸν	κρατερὸν
urn:cite:perseus:lextoken.δ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.25@δ᾽	δ᾽
urn:cite:perseus:lextoken.ἐπὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.25@ἐπὶ	ἐπὶ
urn:cite:perseus:lextoken.μῦθον	urn:cts:greekLit:tlg0012.tlg001.msA:1.25@μῦθον	μῦθον
urn:cite:perseus:lextoken.ἔτελλε	urn:cts:greekLit:tlg0012.tlg001.msA:1.25@ἔτελλε·	ἔτελλε
urn:cite:perseus:lextoken.μή	urn:cts:greekLit:tlg0012.tlg001.msA:1.26@μή	μή
urn:cite:perseus:lextoken.σε	urn:cts:greekLit:tlg0012.tlg001.msA:1.26@σε	σε
urn:cite:perseus:lextoken.γέρον	urn:cts:greekLit:tlg0012.tlg001.msA:1.26@γέρον	γέρον
urn:cite:perseus:lextoken.κοίλῃσιν	urn:cts:greekLit:tlg0012.tlg001.msA:1.26@κοίλῃσιν	κοίλῃσιν
urn:cite:perseus:lextoken.ἐγὼ	urn:cts:greekLit:tlg0012.tlg001.msA:1.26@ἐγὼ	ἐγὼ
urn:cite:perseus:lextoken.παρὰ	urn:cts:greekLit:tlg0012.tlg001.msA:1.26@παρὰ	παρὰ
urn:cite:perseus:lextoken.νηυσὶ	urn:cts:greekLit:tlg0012.tlg001.msA:1.26@νηυσὶ	νηυσὶ
urn:cite:perseus:lextoken.κιχείω	urn:cts:greekLit:tlg0012.tlg001.msA:1.26@κιχείω	κιχείω
urn:cite:perseus:lextoken.ἢ	urn:cts:greekLit:tlg0012.tlg001.msA:1.27@ἢ	ἢ
urn:cite:perseus:lextoken.νῦν	urn:cts:greekLit:tlg0012.tlg001.msA:1.27@νῦν	νῦν
urn:cite:perseus:lextoken.δηθύνοντ᾽	urn:cts:greekLit:tlg0012.tlg001.msA:1.27@δηθύνοντ᾽	δηθύνοντ᾽
urn:cite:perseus:lextoken.ἢ	urn:cts:greekLit:tlg0012.tlg001.msA:1.27@ἢ	ἢ
urn:cite:perseus:lextoken.ὕστερον	urn:cts:greekLit:tlg0012.tlg001.msA:1.27@ὕστερον	ὕστερον
urn:cite:perseus:lextoken.αὖτις	urn:cts:greekLit:tlg0012.tlg001.msA:1.27@αὖτις	αὖτις
urn:cite:perseus:lextoken.ἰόντα	urn:cts:greekLit:tlg0012.tlg001.msA:1.27@ἰόντα,	ἰόντα
urn:cite:perseus:lextoken.μή	urn:cts:greekLit:tlg0012.tlg001.msA:1.28@μή	μή
urn:cite:perseus:lextoken.νύ	urn:cts:greekLit:tlg0012.tlg001.msA:1.28@νύ	νύ
